Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Basic sanity - Copy,Chrome 120.0.6099.234,,,29-01-2024 12:05:01,29-01-2024 12:06:13,1m - 11.682s,PASSED
,,,,,,,
Test Cases/Web Testing/TC001_Login,Chrome 120.0.6099.234,,,29-01-2024 12:05:01,29-01-2024 12:05:09,7.713s,PASSED
"callTestCase(findTestCase(""Web Testing/Reused Test Cases/Login""), [""Username"":""John Doe"", ""Password"":""ThisIsNotAPassword""], STOP_ON_FAILURE)",Chrome 120.0.6099.234,,,29-01-2024 12:05:01,29-01-2024 12:05:09,7.525s,PASSED
closeBrowser(),Chrome 120.0.6099.234,,,29-01-2024 12:05:09,29-01-2024 12:05:09,0.082s,PASSED
,,,,,,,
Test Cases/Web Testing/TC002_Logout_Profile page,Chrome 120.0.6099.234,,,29-01-2024 12:05:09,29-01-2024 12:05:23,13.971s,PASSED
"callTestCase(findTestCase(""Web Testing/Logout_profile page""), [:], STOP_ON_FAILURE)",Chrome 120.0.6099.234,,,29-01-2024 12:05:09,29-01-2024 12:05:23,13.948s,PASSED
,,,,,,,
Test Cases/Web Testing/TC003_Logout_History page,Chrome 120.0.6099.234,,,29-01-2024 12:05:23,29-01-2024 12:05:33,10.332s,PASSED
"callTestCase(findTestCase(""Web Testing/Logout_history page""), [:], STOP_ON_FAILURE)",Chrome 120.0.6099.234,,,29-01-2024 12:05:23,29-01-2024 12:05:33,10.306s,PASSED
,,,,,,,
Test Cases/Web Testing/TC004_Book Appointment,Chrome 120.0.6099.234,,,29-01-2024 12:05:33,29-01-2024 12:05:43,10.265s,PASSED
"callTestCase(findTestCase(""Web Testing/Reused Test Cases/Book Appointment""), [:], STOP_ON_FAILURE)",Chrome 120.0.6099.234,,,29-01-2024 12:05:33,29-01-2024 12:05:43,10.243s,PASSED
,,,,,,,
Test Cases/Web Testing/TC005_View history,Chrome 120.0.6099.234,,,29-01-2024 12:05:43,29-01-2024 12:05:52,8.933s,PASSED
"callTestCase(findTestCase(""Web Testing/View history""), [:], STOP_ON_FAILURE)",Chrome 120.0.6099.234,,,29-01-2024 12:05:44,29-01-2024 12:05:52,8.913s,PASSED
,,,,,,,
Test Cases/Web Testing/TC006_View profile,Chrome 120.0.6099.234,,,29-01-2024 12:05:52,29-01-2024 12:06:05,12.238s,PASSED
"callTestCase(findTestCase(""Web Testing/View profile""), [:], STOP_ON_FAILURE)",Chrome 120.0.6099.234,,,29-01-2024 12:05:52,29-01-2024 12:06:05,12.219s,PASSED
,,,,,,,
Test Cases/Web Testing/TC007_Login_Homepage bar,Chrome 120.0.6099.234,,,29-01-2024 12:06:05,29-01-2024 12:06:13,8.151s,PASSED
"callTestCase(findTestCase(""Web Testing/Login_Homepage bar""), [:], STOP_ON_FAILURE)",Chrome 120.0.6099.234,,,29-01-2024 12:06:05,29-01-2024 12:06:13,8.127s,PASSED
